Data,Tipo,Descricao,Uf
2017-09-07,Nacional,Independência do Brasil,CE
2017-10-12,Nacional,Padroeira do Brasil,CE
2017-11-02,Nacional,Finados,CE
2017-11-15,Nacional,Proclamação da República,CE
2017-12-25,Nacional,Natal,CE
2017-03-19,Estadual,Dia de São José,CE
2017-03-25,Estadual,Data Magna do Ceará,CE
2017-01-06,Comemorativa,Dia de Reis,CE
2017-03-08,Comemorativa,Dia da Mulher,CE
2017-04-16,Comemorativa,Páscoa,CE
2017-04-19,Comemorativa,Dia do Índio,CE
2017-04-22,Comemorativa,Descobrimento do Brasil,CE
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,CE
2017-05-14,Comemorativa,Dia das Mães,CE
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,CE
2017-06-12,Comemorativa,Dia dos Namorados,CE
2017-06-24,Comemorativa,Dia de São João,CE
2017-06-29,Comemorativa,Dia de São Pedro,CE
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,CE
2017-08-13,Comemorativa,Dia dos Pais,CE
2017-10-15,Comemorativa,Dia do Professor,CE
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,CE
2017-01-01,Nacional,Confraternização Universal,DF
2017-02-28,Nacional,Carnaval,DF
2017-04-14,Nacional,Sexta-feira Santa,DF
2017-04-21,Nacional,Tiradentes,DF
2017-05-01,Nacional,Dia do Trabalhador,DF
2017-06-15,Nacional,Corpus Christi,DF
2017-09-07,Nacional,Independência do Brasil,DF
2017-10-12,Nacional,Padroeira do Brasil,DF
2017-11-02,Nacional,Finados,DF
2017-11-15,Nacional,Proclamação da República,DF
2017-12-25,Nacional,Natal,DF
2017-11-30,Estadual,Dia do Evangélico,DF
2017-01-06,Comemorativa,Dia de Reis,DF
2017-03-08,Comemorativa,Dia da Mulher,DF
2017-04-16,Comemorativa,Páscoa,DF
2017-04-19,Comemorativa,Dia do Índio,DF
2017-04-22,Comemorativa,Descobrimento do Brasil,DF
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,DF
2017-05-14,Comemorativa,Dia das Mães,DF
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,DF
2017-06-12,Comemorativa,Dia dos Namorados,DF
2017-06-24,Comemorativa,Dia de São João,DF
2017-06-29,Comemorativa,Dia de São Pedro,DF
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,DF
2017-08-13,Comemorativa,Dia dos Pais,DF
2017-10-15,Comemorativa,Dia do Professor,DF
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,DF
2017-01-01,Nacional,Confraternização Universal,ES
2017-02-28,Nacional,Carnaval,ES
2017-04-14,Nacional,Sexta-feira Santa,ES
2017-04-21,Nacional,Tiradentes,ES
2017-05-01,Nacional,Dia do Trabalhador,ES
2017-06-15,Nacional,Corpus Christi,ES
2017-09-07,Nacional,Independência do Brasil,ES
2017-10-12,Nacional,Padroeira do Brasil,ES
2017-11-02,Nacional,Finados,ES
2017-11-15,Nacional,Proclamação da República,ES
2017-12-25,Nacional,Natal,ES
2017-10-28,Estadual,Dia do Servidor Público,ES
2017-01-06,Comemorativa,Dia de Reis,ES
2017-03-08,Comemorativa,Dia da Mulher,ES
2017-04-16,Comemorativa,Páscoa,ES
2017-04-19,Comemorativa,Dia do Índio,ES
2017-04-22,Comemorativa,Descobrimento do Brasil,ES
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,ES
2017-05-14,Comemorativa,Dia das Mães,ES
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,ES
2017-06-12,Comemorativa,Dia dos Namorados,ES
2017-06-24,Comemorativa,Dia de São João,ES
2017-06-29,Comemorativa,Dia de São Pedro,ES
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,ES
2017-08-13,Comemorativa,Dia dos Pais,ES
2017-10-15,Comemorativa,Dia do Professor,ES
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,ES
2017-01-01,Nacional,Confraternização Universal,GO
2017-02-28,Nacional,Carnaval,GO
2017-04-14,Nacional,Sexta-feira Santa,GO
2017-04-21,Nacional,Tiradentes,GO
2017-05-01,Nacional,Dia do Trabalhador,GO
2017-06-15,Nacional,Corpus Christi,GO
2017-09-07,Nacional,Independência do Brasil,GO
2017-10-12,Nacional,Padroeira do Brasil,GO
2017-11-02,Nacional,Finados,GO
2017-11-15,Nacional,Proclamação da República,GO
2017-12-25,Nacional,Natal,GO
2017-10-28,Estadual,Dia do Servidor Público,GO
2017-01-06,Comemorativa,Dia de Reis,GO
2017-03-08,Comemorativa,Dia da Mulher,GO
2017-04-16,Comemorativa,Páscoa,GO
2017-04-19,Comemorativa,Dia do Índio,GO
2017-04-22,Comemorativa,Descobrimento do Brasil,GO
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,GO
2017-05-14,Comemorativa,Dia das Mães,GO
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,GO
2017-06-12,Comemorativa,Dia dos Namorados,GO
2017-06-24,Comemorativa,Dia de São João,GO
2017-06-29,Comemorativa,Dia de São Pedro,GO
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,GO
2017-08-13,Comemorativa,Dia dos Pais,GO
2017-10-15,Comemorativa,Dia do Professor,GO
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,GO
2017-01-01,Nacional,Confraternização Universal,MA
2017-02-28,Nacional,Carnaval,MA
2017-04-14,Nacional,Sexta-feira Santa,MA
2017-04-21,Nacional,Tiradentes,MA
2017-05-01,Nacional,Dia do Trabalhador,MA
2017-06-15,Nacional,Corpus Christi,MA
2017-09-07,Nacional,Independência do Brasil,MA
2017-10-12,Nacional,Padroeira do Brasil,MA
2017-11-02,Nacional,Finados,MA
2017-11-15,Nacional,Proclamação da República,MA
2017-12-25,Nacional,Natal,MA
2017-07-28,Estadual,Adesão do Maranhão à independê,MA
2017-01-06,Comemorativa,Dia de Reis,MA
2017-03-08,Comemorativa,Dia da Mulher,MA
2017-04-16,Comemorativa,Páscoa,MA
2017-04-19,Comemorativa,Dia do Índio,MA
2017-04-22,Comemorativa,Descobrimento do Brasil,MA
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,MA
2017-05-14,Comemorativa,Dia das Mães,MA
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,MA
2017-06-12,Comemorativa,Dia dos Namorados,MA
2017-06-24,Comemorativa,Dia de São João,MA
2017-06-29,Comemorativa,Dia de São Pedro,MA
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,MA
2017-08-13,Comemorativa,Dia dos Pais,MA
2017-10-15,Comemorativa,Dia do Professor,MA
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,MA
2017-01-01,Nacional,Confraternização Universal,MT
2017-02-28,Nacional,Carnaval,MT
2017-04-14,Nacional,Sexta-feira Santa,MT
2017-04-21,Nacional,Tiradentes,MT
2017-05-01,Nacional,Dia do Trabalhador,MT
2017-06-15,Nacional,Corpus Christi,MT
2017-09-07,Nacional,Independência do Brasil,MT
2017-10-12,Nacional,Padroeira do Brasil,MT
2017-11-02,Nacional,Finados,MT
2017-11-15,Nacional,Proclamação da República,MT
2017-12-25,Nacional,Natal,MT
2017-11-20,Estadual,Conscriência Negra,MT
2017-01-06,Comemorativa,Dia de Reis,MT
2017-03-08,Comemorativa,Dia da Mulher,MT
2017-04-16,Comemorativa,Páscoa,MT
2017-04-19,Comemorativa,Dia do Índio,MT
2017-04-22,Comemorativa,Descobrimento do Brasil,MT
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,MT
2017-05-14,Comemorativa,Dia das Mães,MT
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,MT
2017-06-12,Comemorativa,Dia dos Namorados,MT
2017-06-24,Comemorativa,Dia de São João,MT
2017-06-29,Comemorativa,Dia de São Pedro,MT
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,MT
2017-08-13,Comemorativa,Dia dos Pais,MT
2017-10-15,Comemorativa,Dia do Professor,MT
2017-01-01,Nacional,Confraternização Universal,MS
2017-02-28,Nacional,Carnaval,MS
2017-04-14,Nacional,Sexta-feira Santa,MS
2017-04-21,Nacional,Tiradentes,MS
2017-05-01,Nacional,Dia do Trabalhador,MS
2017-06-15,Nacional,Corpus Christi,MS
2017-09-07,Nacional,Independência do Brasil,MS
2017-10-12,Nacional,Padroeira do Brasil,MS
2017-11-02,Nacional,Finados,MS
2017-11-15,Nacional,Proclamação da República,MS
2017-12-25,Nacional,Natal,MS
2017-10-11,Estadual,Criação do estado de Mato Grosso do,MS
2017-01-06,Comemorativa,Dia de Reis,MS
2017-03-08,Comemorativa,Dia da Mulher,MS
2017-04-16,Comemorativa,Páscoa,MS
2017-04-19,Comemorativa,Dia do Índio,MS
2017-04-22,Comemorativa,Descobrimento do Brasil,MS
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,MS
2017-05-14,Comemorativa,Dia das Mães,MS
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,MS
2017-06-12,Comemorativa,Dia dos Namorados,MS
2017-06-24,Comemorativa,Dia de São João,MS
2017-06-29,Comemorativa,Dia de São Pedro,MS
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,MS
2017-08-13,Comemorativa,Dia dos Pais,MS
2017-10-15,Comemorativa,Dia do Professor,MS
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,MS
2017-01-01,Nacional,Confraternização Universal,MG
2017-02-28,Nacional,Carnaval,MG
2017-04-14,Nacional,Sexta-feira Santa,MG
2017-04-21,Nacional,Tiradentes,MG
2017-05-01,Nacional,Dia do Trabalhador,MG
2017-06-15,Nacional,Corpus Christi,MG
2017-09-07,Nacional,Independência do Brasil,MG
2017-10-12,Nacional,Padroeira do Brasil,MG
2017-11-02,Nacional,Finados,MG
2017-11-15,Nacional,Proclamação da República,MG
2017-12-25,Nacional,Natal,MG
2017-01-06,Comemorativa,Dia de Reis,MG
2017-03-08,Comemorativa,Dia da Mulher,MG
2017-04-16,Comemorativa,Páscoa,MG
2017-04-19,Comemorativa,Dia do Índio,MG
2017-04-22,Comemorativa,Descobrimento do Brasil,MG
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,MG
2017-05-14,Comemorativa,Dia das Mães,MG
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,MG
