Data,Tipo,Descricao,Uf
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,RN
2017-08-13,Comemorativa,Dia dos Pais,RN
2017-10-15,Comemorativa,Dia do Professor,RN
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,RN
2017-01-01,Nacional,Confraternização Universal,RS
2017-02-28,Nacional,Carnaval,RS
2017-04-14,Nacional,Sexta-feira Santa,RS
2017-04-21,Nacional,Tiradentes,RS
2017-05-01,Nacional,Dia do Trabalhador,RS
2017-06-15,Nacional,Corpus Christi,RS
2017-09-07,Nacional,Independência do Brasil,RS
2017-10-12,Nacional,Padroeira do Brasil,RS
2017-11-02,Nacional,Finados,RS
2017-11-15,Nacional,Proclamação da República,RS
2017-12-25,Nacional,Natal,RS
2017-09-20,Estadual,Revolução Farroupilha,RS
2017-01-06,Comemorativa,Dia de Reis,RS
2017-03-08,Comemorativa,Dia da Mulher,RS
2017-04-16,Comemorativa,Páscoa,RS
2017-04-19,Comemorativa,Dia do Índio,RS
2017-04-22,Comemorativa,Descobrimento do Brasil,RS
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,RS
2017-05-14,Comemorativa,Dia das Mães,RS
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,RS
2017-06-12,Comemorativa,Dia dos Namorados,RS
2017-06-24,Comemorativa,Dia de São João,RS
2017-06-29,Comemorativa,Dia de São Pedro,RS
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,RS
2017-08-13,Comemorativa,Dia dos Pais,RS
2017-10-15,Comemorativa,Dia do Professor,RS
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,RS
2017-01-01,Nacional,Confraternização Universal,RO
2017-02-28,Nacional,Carnaval,RO
2017-04-14,Nacional,Sexta-feira Santa,RO
2017-04-21,Nacional,Tiradentes,RO
2017-05-01,Nacional,Dia do Trabalhador,RO
2017-06-15,Nacional,Corpus Christi,RO
2017-09-07,Nacional,Independência do Brasil,RO
2017-10-12,Nacional,Padroeira do Brasil,RO
2017-11-02,Nacional,Finados,RO
2017-11-15,Nacional,Proclamação da República,RO
2017-12-25,Nacional,Natal,RO
2017-01-04,Estadual,Criação do estado de Rondônia,RO
2017-06-18,Estadual,Dia do Evangélico,RO
2017-01-06,Comemorativa,Dia de Reis,RO
2017-03-08,Comemorativa,Dia da Mulher,RO
2017-04-16,Comemorativa,Páscoa,RO
2017-04-19,Comemorativa,Dia do Índio,RO
2017-04-22,Comemorativa,Descobrimento do Brasil,RO
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,RO
2017-05-14,Comemorativa,Dia das Mães,RO
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,RO
2017-06-12,Comemorativa,Dia dos Namorados,RO
2017-06-24,Comemorativa,Dia de São João,RO
2017-06-29,Comemorativa,Dia de São Pedro,RO
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,RO
2017-08-13,Comemorativa,Dia dos Pais,RO
2017-10-15,Comemorativa,Dia do Professor,RO
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,RO
2017-01-01,Nacional,Confraternização Universal,RR
2017-02-28,Nacional,Carnaval,RR
2017-04-14,Nacional,Sexta-feira Santa,RR
2017-04-21,Nacional,Tiradentes,RR
2017-05-01,Nacional,Dia do Trabalhador,RR
2017-06-15,Nacional,Corpus Christi,RR
2017-09-07,Nacional,Independência do Brasil,RR
2017-10-12,Nacional,Padroeira do Brasil,RR
2017-11-02,Nacional,Finados,RR
2017-11-15,Nacional,Proclamação da República,RR
2017-12-25,Nacional,Natal,RR
2017-10-05,Estadual,Criação de Roraima,RR
2017-01-06,Comemorativa,Dia de Reis,RR
2017-03-08,Comemorativa,Dia da Mulher,RR
2017-04-16,Comemorativa,Páscoa,RR
2017-04-19,Comemorativa,Dia do Índio,RR
2017-04-22,Comemorativa,Descobrimento do Brasil,RR
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,RR
2017-05-14,Comemorativa,Dia das Mães,RR
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,RR
2017-06-12,Comemorativa,Dia dos Namorados,RR
2017-06-24,Comemorativa,Dia de São João,RR
2017-06-29,Comemorativa,Dia de São Pedro,RR
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,RR
2017-08-13,Comemorativa,Dia dos Pais,RR
2017-10-15,Comemorativa,Dia do Professor,RR
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,RR
2017-01-01,Nacional,Confraternização Universal,SC
2017-02-28,Nacional,Carnaval,SC
2017-04-14,Nacional,Sexta-feira Santa,SC
2017-04-21,Nacional,Tiradentes,SC
2017-05-01,Nacional,Dia do Trabalhador,SC
2017-06-15,Nacional,Corpus Christi,SC
2017-09-07,Nacional,Independência do Brasil,SC
2017-10-12,Nacional,Padroeira do Brasil,SC
2017-11-02,Nacional,Finados,SC
2017-11-15,Nacional,Proclamação da República,SC
2017-12-25,Nacional,Natal,SC
2017-08-11,Estadual,Criação da capitania,SC
2017-01-06,Comemorativa,Dia de Reis,SC
2017-03-08,Comemorativa,Dia da Mulher,SC
2017-04-16,Comemorativa,Páscoa,SC
2017-04-19,Comemorativa,Dia do Índio,SC
2017-04-22,Comemorativa,Descobrimento do Brasil,SC
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,SC
2017-05-14,Comemorativa,Dia das Mães,SC
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,SC
2017-06-12,Comemorativa,Dia dos Namorados,SC
2017-06-24,Comemorativa,Dia de São João,SC
2017-06-29,Comemorativa,Dia de São Pedro,SC
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,SC
2017-08-13,Comemorativa,Dia dos Pais,SC
2017-10-15,Comemorativa,Dia do Professor,SC
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,SC
2017-01-01,Nacional,Confraternização Universal,SP
2017-02-28,Nacional,Carnaval,SP
2017-04-14,Nacional,Sexta-feira Santa,SP
2017-04-21,Nacional,Tiradentes,SP
2017-05-01,Nacional,Dia do Trabalhador,SP
2017-06-15,Nacional,Corpus Christi,SP
2017-09-07,Nacional,Independência do Brasil,SP
2017-10-12,Nacional,Padroeira do Brasil,SP
2017-11-02,Nacional,Finados,SP
2017-11-15,Nacional,Proclamação da República,SP
2017-12-25,Nacional,Natal,SP
2017-07-09,Estadual,Revolução Constitucionalista de 1932,SP
2017-01-06,Comemorativa,Dia de Reis,SP
2017-03-08,Comemorativa,Dia da Mulher,SP
2017-04-16,Comemorativa,Páscoa,SP
2017-04-19,Comemorativa,Dia do Índio,SP
2017-04-22,Comemorativa,Descobrimento do Brasil,SP
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,SP
2017-05-14,Comemorativa,Dia das Mães,SP
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,SP
2017-06-12,Comemorativa,Dia dos Namorados,SP
2017-06-24,Comemorativa,Dia de São João,SP
2017-06-29,Comemorativa,Dia de São Pedro,SP
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,SP
2017-08-13,Comemorativa,Dia dos Pais,SP
2017-10-15,Comemorativa,Dia do Professor,SP
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,SP
2017-01-01,Nacional,Confraternização Universal,SE
2017-02-28,Nacional,Carnaval,SE
2017-04-14,Nacional,Sexta-feira Santa,SE
2017-04-21,Nacional,Tiradentes,SE
2017-05-01,Nacional,Dia do Trabalhador,SE
2017-06-15,Nacional,Corpus Christi,SE
2017-09-07,Nacional,Independência do Brasil,SE
2017-10-12,Nacional,Padroeira do Brasil,SE
2017-11-02,Nacional,Finados,SE
2017-11-15,Nacional,Proclamação da República,SE
2017-12-25,Nacional,Natal,SE
2017-07-08,Estadual,Autonomia política de Sergipe,SE
2017-01-06,Comemorativa,Dia de Reis,SE
2017-03-08,Comemorativa,Dia da Mulher,SE
2017-04-16,Comemorativa,Páscoa,SE
2017-04-19,Comemorativa,Dia do Índio,SE
2017-04-22,Comemorativa,Descobrimento do Brasil,SE
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,SE
2017-05-14,Comemorativa,Dia das Mães,SE
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,SE
2017-06-12,Comemorativa,Dia dos Namorados,SE
2017-06-24,Comemorativa,Dia de São João,SE
2017-06-29,Comemorativa,Dia de São Pedro,SE
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,SE
2017-08-13,Comemorativa,Dia dos Pais,SE
2017-10-15,Comemorativa,Dia do Professor,SE
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,SE
2017-01-01,Nacional,Confraternização Universal,TO
2017-02-28,Nacional,Carnaval,TO
2017-04-14,Nacional,Sexta-feira Santa,TO
2017-04-21,Nacional,Tiradentes,TO
2017-05-01,Nacional,Dia do Trabalhador,TO
2017-06-15,Nacional,Corpus Christi,TO
2017-09-07,Nacional,Independência do Brasil,TO
2017-10-12,Nacional,Padroeira do Brasil,TO
2017-11-02,Nacional,Finados,TO
2017-11-15,Nacional,Proclamação da República,TO
2017-12-25,Nacional,Natal,TO
2017-03-18,Estadual,Dia da Autonomia do Estado,TO
2017-09-08,Estadual,Nossa Senhora da Natividade,TO
2017-10-05,Estadual,Criação de Tocantins,TO
2017-01-06,Comemorativa,Dia de Reis,TO
2017-03-08,Comemorativa,Dia da Mulher,TO
2017-04-16,Comemorativa,Páscoa,TO
2017-04-19,Comemorativa,Dia do Índio,TO
2017-04-22,Comemorativa,Descobrimento do Brasil,TO
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,TO
2017-05-14,Comemorativa,Dia das Mães,TO
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,TO
2017-06-12,Comemorativa,Dia dos Namorados,TO
2017-06-24,Comemorativa,Dia de São João,TO
2017-06-29,Comemorativa,Dia de São Pedro,TO
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,TO
2017-08-13,Comemorativa,Dia dos Pais,TO
2017-10-15,Comemorativa,Dia do Professor,TO
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,TO
